ID,Category,Vendor,Model,Serial,Description,Modules,ETAG,Last Cal Date,Next Cal Date,IP Address,Purchase Value,Year of Purchase,check,Location,Comments,uuid,fff,bbb
205,ANALYZER,OTHER,2200-30-5,9060092,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
206,ANALYZER,OTHER,2200-30-5,9060081,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
207,ANALYZER,OTHER,2200-30-5,9060088,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
208,ANALYZER,OTHER,2200-30-5,9060087,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
209,ANALYZER,OTHER,HSM1001A,595,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",<2015,1,bench 17,3001026467,,,
210,ANALYZER,OTHER,HSM1001A,596,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",<2015,1,bench 17,3001026467,,,
211,ANALYZER,OTHER,HSM1001A,598,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",<2015,1,bench 17,Sent to Haifa foe FIB (Ynon/Gil) - ISM #1304180892 3001026467,,,
212,ANALYZER,OTHER,HSM1001A,599,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",<2015,1,bench 17,3001026467,,,
213,ANALYZER,OTHER,HSM1001A,600,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",<2015,1,bench 17,3001026467,,,
214,ANALYZER,OTHER,HSM1001A,601,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",<2015,1,bench 17,3001026467,,,
215,ANALYZER,OTHER,HSM1001A,602,1GHZ RF SYNTHESIZER,,E605392,,,10.12.215.221,"16,000",<2015,1,bench 17,3001026467,,,
216,ANALYZER,OTHER,CG635,2804,2.05GHz Synthesized Clock Generator,,,8.8.2016,8.8.2017,,"4,000",<2015,1,bench 17,,,,
217,ANALYZER,OTHER,CG635,2795,2.05GHz Synthesized Clock Generator,,,8.8.2016,8.8.2017,,"4,000",<2015,1,bench 17,,,,
218,ANALYZER,OTHER,8000-L-86TR26,1300413,"ASSY, LAN,M/W,8,T-ST6T,26GHz - GIGATRONICS ",,E484428,,,,"35,000",<2015,1,bench 17,3000805207,,,
219,ANALYZER,OTHER,DSA-X 93304Q,MY53300102,DIGITAL SERIAL ANALYZER ,,,30.6.2016,30.6.2017,10.12.215.216,,,0,bench 17,Waterfalled to BA ISM:1304279477 asset:200000936275,,,
220,ANALYZER,OTHER,DSO-X 3034A,MY53280202,4 CHANNEL 350MHz OSCILLOSCOPE,,E625092,8.8.2016,8.8.2017,,"12,000",<2015,1,bench 17,,,,
221,ANALYZER,OTHER,8000-L-86TR40,1300113,"ASSY, LAN,M/W,4,T-SP6T,40GHz - GIGATRONICS ",,E484423,,,10.12.215.217,"35,000",<2015,1,bench 17,PO:3000805207,,,
222,ANALYZER,OTHER,BSA175C,280709,bertscope 17.5 Gb/sBit Error Ratio Analyzer,,E559832,12.1.16,12.1.17,,,,0,bench 17,"Waterfalled to MX, Chavez Cuadras, Ricardo Usiel ISM: 1304658836 ",,,
223,ANALYZER,OTHER,DPP125C,B010102,12.5 Gb/s 3Tap Digital Pre-Emphasis Processor,,E559832,12.9.16,12.9.17,,,,0,bench 17,"Previously DPP125B S/N:B240523 - Retired in the ISMP, Waterfalled to MX, Chavez Cuadras, Ricardo Usiel ISM: 1304658836 ",,,
224,ANALYZER,OTHER,J9022,AB754,programmABLE jitter GENERATOR,,E605389,10.2.2013,10.2.2014,,"35,000",<2015,1,bench 17,,,,
225,ANALYZER,,MEDUSA-IV-8,IZMED8DP3445009,MEDUSA-IV-8,,,,,,,,0,,Sset for repair to the us 12.3.15 ISM:1303117562,,,
226,ANALYZER,,MEDUSA-IV-8,IZMED8DP3496006,MEDUSA-IV-8,,,,,,,,0,,Not found,,,
227,ANALYZER,OTHER,2110,1420531,2110 5 1/2 DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
228,ANALYZER,OTHER,2110,1420723,2111 5 1/2 DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
229,ANALYZER,OTHER,2110,1420524,2112 5 1/2 DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
230,ANALYZER,OTHER,2110,1420520,2113 5 1/2 DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,,,0,bench 17,Not found,,,
231,ANALYZER,OTHER,3390,1415684,3390 50MHz ARBITARY WAVEFORM GENERATOR,,,,,,,,0,bench 17,Moved to CCD,,,
232,ANALYZER,OTHER,2200-20-5,9050186,"Programmable power supply 20V, 5A",,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
233,ANALYZER,OTHER,2200-20-5,9050185,"Programmable power supply 20V, 5A",,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
234,ANALYZER,OTHER,2200-20-5,9050183,"Programmable power supply 20V, 5A",,,8.8.2016,8.8.2017,,,,0,bench 17,Not found,,,
235,ANALYZER,OTHER,2200-20-5,9050188,"Programmable power supply 20V, 5A",,,,,,,,0,bench 17,Not found,,,
236,ANALYZER,OTHER,2200-20-5,9050184,"Programmable power supply 20V, 5A",,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
237,ANALYZER,OTHER,2200-20-5,9050187,"Programmable power supply 20V, 5A",,,,,,"1,500",<2015,1,bench 17,,,,
238,ANALYZER,OTHER,2200-20-5,9050189,"Programmable power supply 20V, 5A",,,8.8.2016,8.8.2017,,,,0,bench 17,Not found,,,
239,ANALYZER,OTHER,2200-20-5,9050192,"Programmable power supply 20V, 5A",,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
240,ANALYZER,OTHER,2200-20-5,9050191,"Programmable power supply 20V, 5A",,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
241,ANALYZER,OTHER,3390,1415691,3390 50MHz ARBITARY WAVEFORM GENERATOR,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to CCD,,,
242,ANALYZER,OTHER,3390,1415689,3390 50MHz ARBITARY WAVEFORM GENERATOR,,,,,,,,0,bench 17,Left - Donation for BIU,,,
243,ANALYZER,OTHER,2110,1421266,2110 5 1/2 DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
244,ANALYZER,OTHER,2110,1421262,2110 5 1/2 DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
245,ANALYZER,OTHER,2110,1416158,2110 5 1/2 DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,Moved to Guy Greenwald CCD,,,
246,ANALYZER,OTHER,2110,1421484,2110 5 1/2 DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,,,0,bench 17,Not found,,,
247,ANALYZER,OTHER,2200-20-5,9050211,"Programmable power supply 20V, 5A",,,8.8.2016,8.8.2017,,,,0,bench 17,Not found,,,
248,ANALYZER,OTHER,2200-20-5,9050215,"Programmable power supply 20V, 5A",,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
249,ANALYZER,OTHER,2200-20-5,9050212,"Programmable power supply 20V, 5A",,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
250,ANALYZER,OTHER,2200-20-5,9102202,"Programmable power supply 20V, 5A",,,,,,,,0,bench 17,Not found,,,
251,ANALYZER,OTHER,2200-20-5,9050214,"Programmable power supply 20V, 5A",,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
252,ANALYZER,OTHER,2200-20-5,9050216,"Programmable power supply 20V, 5A",,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
253,ANALYZER,OTHER,B2902A,MY51141086,PRECISION SOURCE/MEASURE UNIT,,E559800,8.8.2016,8.8.2017,,"5,000",<2015,1,bench 17,,,,
254,ANALYZER,OTHER,B2902A,MY51141087,PRECISION SOURCE/MEASURE UNIT,,E559801,8.8.2016,8.8.2017,,"5,000",<2015,1,bench 17,,,,
255,ANALYZER,OTHER,N5449A,MY54080613,High Impedance Adapter,,,8.8.2016,8.8.2017,,"2,300",2020,1,bench 17,,,,
256,ANALYZER,OTHER,N5449A,MY54130618,High Impedance Adapter,,,8.8.2016,8.8.2017,,"2,300",2020,1,bench 17,,,,
257,ANALYZER,OTHER,HSM1001A,700,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,3001026467,,,
258,ANALYZER,OTHER,HSM1001A,701,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,3001026467,,,
259,ANALYZER,OTHER,HSM1001A,702,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,3001026467,,,
260,ANALYZER,OTHER,DPP125B,B240577,12.5 Gb/s  Digital Pre-Emphasis Processor,,,11.3.2014,11.3.2015,,,,0,bench 17,"Waterfalled to MX, Chavez Cuadras, Ricardo Usiel ISM: 1304658836 ",,,
261,ANALYZER,OTHER,BSA260C,280728,26.0 Gb/s BIT ERROR RATIO ANALYZER,,E559799,4.4.16,4.4.17,,,,0,bench 17,"Waterfalled to MX, Chavez Cuadras, Ricardo Usiel ISM: 1304658836 ",,,
262,ANALYZER,OTHER,179,26850128,TRUE RMS MULTIMETER,,,,,,500,2015,1,bench 17,,,,
263,ANALYZER,OTHER,179,26850126,TRUE RMS MULTIMETER,,,8.8.2016,8.8.2017,,500,2015,1,bench 17,,,,
264,ANALYZER,OTHER,179,26850129,TRUE RMS MULTIMETER,,,8.8.2016,8.8.2017,,500,2015,1,bench 17,,,,
265,ANALYZER,OTHER,179,26820270,TRUE RMS MULTIMETER,,,8.8.2016,8.8.2017,,500,2015,1,bench 17,,,,
269,ANALYZER,OTHER,DSAZ334A,MY54210102,Scope,,E559798,8.8.2016,8.8.2017,,"232,000",2015,1,bench 17,Sent for repair 5/5/19 ISM:1304235635,,,
270,ANALYZER,OTHER,B2902A,MY51141201,Source Meter,,E625087,8.8.2016,8.8.2017,,"5,000",<2015,1,bench 17,,,,
271,ANALYZER,OTHER,B2902A,MY51141202,Source Meter,,E625087,,,,"5,000",<2015,1,bench 17,,,,
272,ANALYZER,OTHER,B2902A,MY51141203,Source Meter,,,8.8.2016,8.8.2017,,"5,000",<2015,1,bench 17,,,,
273,ANALYZER,OTHER,B2902A,MY51141198,Source Meter,,E625087,8.8.2016,8.8.2017,,"5,000",<2015,1,bench 17,,,,
274,ANALYZER,OTHER,B2902A,MY51141200,Source Meter,,E625087,8.8.2016,8.8.2017,,"5,000",<2015,1,bench 17,,,,
275,ANALYZER,OTHER,B2902A,MY51141199,Source Meter,,,8.8.2016,8.8.2017,,"5,000",<2015,1,bench 17,,,,
276,ANALYZER,OTHER,MCB,NONE,QSFP+-TPA40G-MCB-R 640-0586-000,,E605393,,,,"2,800",2015,1,bench 17,IN STOREG ROOM 20 UNITS,,,
277,ANALYZER,OTHER,679-6533-01,T05TMD,ISI Board,,,,,,"1,500",<2015,1,bench 17,in use,,,
278,ANALYZER,OTHER,679-6533-01,T05THV,ISI Board,,,,,,"1,500",<2015,1,bench 17,in use,,,
279,ANALYZER,OTHER,679-6533-01,T05THW,ISI Board,,,,,,"1,500",<2015,1,bench 17,in use,,,
280,ANALYZER,OTHER,679-6533-01,T05THX,ISI Board,,,,,,"1,500",<2015,1,bench 17,in use,,,
281,ANALYZER,OTHER,679-6533-01,T05THY,ISI Board,,,,,,"1,500",<2015,1,bench 17,in use,,,
282,ANALYZER,OTHER,679-6533-01,T01DYC,ISI Board,,,,,,"1,500",<2015,1,bench 17,in use,,,
283,ANALYZER,OTHER,679-6533-01,T021L3,ISI Board,,,,,,"1,500",<2015,1,bench 17,in use,,,
284,ANALYZER,OTHER,679-6533-01,T05THU,ISI Board,,,,,,"1,500",<2015,1,bench 17,in use,,,
285,ANALYZER,OTHER,16901A,MY52330114,Logic Analysis system mainframe,,E625093,8.8.2016,8.8.2017,,"5,000",<2015,1,bench 17,under warenty until 18.2.2018 - Alexei borrow it to ND Debug,,,
286,ANALYZER,OTHER,16962A,MY50010441,"Logic analysis module, 68 channel, 2 GHz timing",,E625076,8.8.2016,8.8.2017,,"20,000",<2015,1,bench 17,,,,
287,ANALYZER,OTHER,16901A,MY52330109,Logic Analysis system mainframe,16962a,E625084,8.8.2016,8.8.2017,,"5,000",<2015,1,bench 17,warenty until 18.2.2018 - with 16962a inside - David borrow it to ND,,,
288,ANALYZER,OTHER,16962A,MY50010161,"Logic analysis module, 68 channel, 2 GHz timing",,E625077,8.8.2016,8.8.2017,,"20,000",<2015,1,bench 17,,,,
289,ANALYZER,OTHER,16901A,MY52510103,Logic Analysis system mainframe,16962a,E625082,8.8.2016,8.8.2017,,"5,000",<2015,1,bench 17,warenty until 18.2.2018 - with 16962a inside,,,
290,ANALYZER,OTHER,16962A,MY50010163,"Logic analysis module, 68 channel, 2 GHz timing",,E625078,8.8.2016,8.8.2017,,"20,000",<2015,1,bench 17,,,,
291,ANALYZER,OTHER,16901A,MY52330125,Logic Analysis system mainframe,16962a,E625088,8.8.2016,8.8.2017,,"5,000",<2015,1,bench 17,warenty until 18.2.2018 - with 16962a inside,,,
292,ANALYZER,OTHER,16962A,MY50010162,"Logic analysis module, 68 channel, 2 GHz timing",,E625079,8.8.2016,8.8.2017,,"20,000",<2015,1,bench 17,,,,
293,ANALYZER,,Medusa 3.5-8,IZMED8DP4312004,Medusa 3.5-8,,,,,,,,0,,in use,,,
294,ANALYZER,,MEDUSA-IV-8,GPMED8DP4494001,MEDUSA-IV-8,,,,,,,,0,,in use,,,
295,ANALYZER,OTHER,BSA125C,281019,Bit error ratio Analyzer,,E559796,,,,,,0,bench 17,Traded for Anritsu Bert,,,
296,ANALYZER,OTHER,CR12500A,170262,Variable Clock Recovery,,,,,,,,0,bench 17,in use - Moved to other lab ,,,
297,ANALYZER,OTHER,CR12500A,170085,Variable Clock Recovery,,,,,,,,0,bench 17,in use - Moved to other lab ,,,
298,ANALYZER,OTHER,DPP125C,B010517,12.5 Gb/s 3Tap Digital Pre-Emphasis Processor,E559796,,26.2.16,26.2.17,,,,0,bench 17,"Waterfalled to MX, Chavez Cuadras, Ricardo Usiel ISM: 1304658836 ",,,
299,ANALYZER,OTHER,CR125A,B172044,Variable Clock Recovery,E559830,,24.3.16,24.3.17,,,,0,bench 17,"Waterfalled to MX, Chavez Cuadras, Ricardo Usiel ISM: 1304658836 ",,,
300,ANALYZER,OTHER,E5052B,MY47402099,10 MHz to 7 GHz Signal Source Analyzer,,E605390,8.8.2016,8.8.2017,,"75,000",2015,1,bench 17,Under warenty until 31.3.2018 PO:3000937243,,,
301,ANALYZER,OTHER,N5232A -416,MY52221009,PNA NETWORK ANALYZER,,,8.8.2016,8.8.2017,,,,0,bench 17,under warenty until 2.4.2018 - Traded for new PNA ISM:1303893570,,,
302,ANALYZER,OTHER,N4433A,MY52230053,"ECal module, 300 kHz to 20 GHz",,E625086,,,,"13,000",2015,1,bench 17,Sent for calibration in Keysight 30/5/2019 ISM:1304255758 po:3000937243,,,
303,ANALYZER,OTHER,B2912A ,MY51140329,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,PO:3000937243,,,
304,ANALYZER,OTHER,B2912A ,MY51140333,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,Sent to Dekel PO PO:3000937243,,,
305,ANALYZER,OTHER,B2912A ,MY51140334,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,PO:3000937243,,,
306,ANALYZER,OTHER,B2912A ,MY51140335,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,Sent to Dekel PO PO:3000937243,,,
307,ANALYZER,OTHER,B2912A ,MY51140337,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,PO:3000937243,,,
308,ANALYZER,OTHER,B2912A ,MY51140116,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,repaired PO:3000937243,,,
309,ANALYZER,OTHER,B2912A ,MY51140136,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,PO:3000937243,,,
310,ANALYZER,OTHER,34980A ,MY53153933,Multifunction Switch/Measure Unit,,E625085,8.8.2016,8.8.2017,,"3,000",2015,1,bench 17,under warenty until 31.3.2018 PO:3000937243,,,
311,ANALYZER,OTHER, N5183A ,MY50143010,Precision Source/Measure Unit,,E625090,8.8.2016,8.8.2017,,"30,000",2015,1,bench 17,Under warenty until 31.3.2018 PO:3000937243,,,
312,ANALYZER,OTHER,  J9022,AD674,JITTER GENERATOR ,,E559794,,,,"28,000",2015,1,bench 17,,,,
313,ANALYZER,OTHER,  J9022,AD675,JITTER GENERATOR ,,E559795,,,,"28,000",2015,1,bench 17,Back from repair. ,,,
314,ANALYZER,OTHER,  CR175A,B171649,Bertscope clock recovery,,,27.8.16,27.8.17,,,,0,bench 17,"Waterfalled to MX, Chavez Cuadras, Ricardo Usiel ISM: 1304658836 ",,,
315,ANALYZER,OTHER,  TLA7012,C040004,LOGIC ANALYZER  PORTABLE MAINFRAME,TLA7ac2,,,,,,,0,bench 17,Waterfall to BA ISM:1304253661,,,
316,ANALYZER,OTHER,  DSA72004C  ,B110415,Scope,,E625095,,,,"62,000",<2015,1,bench 17,LUMA Installed,,,
317,ANALYZER,OTHER,  TLA7012,c030184,LOGIC ANALYZER  PORTABLE MAINFRAME,tla7c3,,,,,,,0,bench 17,Moved to Guy Greenwald CCD for scopes,,,
318,ANALYZER,OTHER,  BSA286CL,B010004,bertscope 17.5 Gb/sBit Error Ratio Analyzer,,E559793,8.2.16,8.2.17,,,,0,bench 17,"Moved to Chavez Cuadras, Ricardo U ISM #1304628760",,,
319,ANALYZER,OTHER,  SP6T ,TBD,Switch Matrix,,E605391,,,,"135,000",2015,1,bench 17,in use,,,
320,ANALYZER,OTHER,CR125A,B172051,Variable Clock Recovery,,,,,,,,0,bench 17,Traded for Anrtisu system  ISM:1303641277,,,
321,ANALYZER,OTHER,DPP125C,B010134,Variable Clock Recovery,,,22.8.16,22.8.17,,,,0,bench 17,"Moved to Chavez Cuadras, Ricardo U ISM #1304628760",,,
322,ANALYZER,OTHER,DSAZ504A,MY55160108,Infiniium Oscilloscope: 50 GHz,,E559841,,,,"270,000",2015,1,bench 17,new not in the agreement,,,
323,ANALYZER,OTHER,DSAZ334A,MY55160103,Infiniium Oscilloscope: 33 GHz,,E559842,8.8.2016,8.8.2017,,,,0,bench 17,new not in the agreement- LUMA Installed -  moved to K.H in Penang ISM #1304887566,,,
324,ANALYZER,OTHER,HSM1001A,798,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,new not in the agreement3001026467,,,
325,ANALYZER,OTHER,HSM1001A,799,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,new not in the agreement3001026467,,,
326,ANALYZER,OTHER,HSM1001A,800,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
327,ANALYZER,OTHER,HSM1001A,794,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
328,ANALYZER,OTHER,HSM1001A,797,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
329,ANALYZER,OTHER,HSM1001A,795,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
330,ANALYZER,OTHER,HSM1001A,793,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
331,ANALYZER,OTHER,HSM1001A,792,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
332,ANALYZER,OTHER,HSM1001A,796,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
333,ANALYZER,OTHER,HSM1001A,801,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement po:3001026467 ,,,
334,ANALYZER,OTHER,Summit X670,1503N-42870,Network switch,,E625080,,,,"3,500",2015,1,bench 17,PO:3001036735,,,
335,ANALYZER,OTHER,1169A,US55012322,Keysight Probe Amplifier,,,8.8.2016,8.8.2017,,"9,000",2015,1,bench 17,new not in the agreement,,,
336,ANALYZER,OTHER,1169A,US55012081,Keysight Probe Amplifier,,,8.8.2016,8.8.2017,,"9,000",2015,1,bench 17,new not in the agreement,,,
337,ANALYZER,OTHER,PSPL5320B,B010121,Diff Pulse Splitter - Balun,,E559840,,,,"3,000",2016,1,,in use,,,
338,ANALYZER,OTHER,PSPL5320B,B010118,Diff Pulse Splitter - Balun,,E559839,,,,"3,000",2016,1,,in use,,,
339,ANALYZER,OTHER,CR125A,170299,Variable Clock Recovery,,E559797,,,,,,0,bench 17,Traded for Anritsu Bert,,,
340,ANALYZER,OTHER,XGS12,XGS12-G0960032,Network Test Device,,E559815,,,,"140,000",2016,1,bench 17,in use PO:3001270084 ,,,
341,ANALYZER,OTHER,DPO73304DX   ,B260501,Scope,,E559816,,,,"100,000",2016,1,bench 17,in use - LUMA Installed,,,
342,ANALYZER,OTHER,E8527D,MY53403689,PSG Analog Signal Generator,,E559817,22.11.16,22.11.17,,"35,000",<2015,1,bench 17,in use,,,
343,ANALYZER,OTHER,E8527D,MY53403688,PSG Analog Signal Generator,,E559818,22.11.16,22.11.17,,"35,000",<2015,1,bench 17,in use,,,
344,ANALYZER,OTHER,N5183B,MY53271395,MXG Analog Signal Generator,,E559819,22.11.16,22.11.17,,,,0,bench 17,ISM:1303610428 -  sent back to vendor for replacment ,,,
345,ANALYZER,OTHER,86116C,US53120440,Electrical-Optical Module ,,E559820,1.12.16,1.12.17,,,,0,bench 17,ISM:1303600152 -  sent back to vendor for replacment ,,,
346,ANALYZER,OTHER,HPDX7-S6,H143075,Synopsys HAPS DX7 S6 FPGA Board,,E559821,,,,,,0,bench 17,Waterfalled to K.H PG,,,
347,ANALYZER,OTHER,PSPL5315,B010152,Diff Balun tester,,E559822,16.12.16,16.12.17,,"2,800",2017,1,bench 17,200001313333 PO:3001271152 WBS:C04295.IPG.37058-019204A,,,
348,ANALYZER,OTHER,PSPL5315,B010153,Diff Balun tester,,E559823,16.12.16,16.12.17,,"2,800",2017,1,bench 17,200001313334 PO:3001271152 WBS:C04295.IPG.37058-019204A,,,
349,ANALYZER,OTHER,PSPL5315,B010155,Diff Balun tester,,E559824,16.12.16,16.12.17,,"2,800",2017,1,bench 17,200001313335 PO:3001271152 WBS:C04295.IPG.37058-019204A,,,
350,ANALYZER,OTHER,E8527D,MY56440314, 31.8GHz PSG Analog Signal Generator,,E559825,8.3.17,8.3.18,,"50,000",2015,1,bench 17,in use,,,
351,ANALYZER,OTHER,E8527D,MY56440074,PSG Analog Signal Generator,,E559826,8.3.17,8.3.18,,"35,000",2015,1,bench 17,in use,,,
352,ANALYZER,OTHER,HPDX7-S6,H180353,Synopsys HAPS DX7 S6 FPGA Board,,E559833,,,,,,0,bench 17,Waterfalled to K.H PG,,,
353,ANALYZER,OTHER,HPDX7-S6,H180356,Synopsys HAPS DX7 S6 FPGA Board,,E559834,,,,,,0,bench 17,Waterfalled to K.H PG,,,
354,ANALYZER,OTHER,MP1900A,6261783371,Bert system,,E559835,,,,"300,000",2017,1,bench 17,in use PO:3001457991,,,
355,ANALYZER,OTHER,N5227B,US57180239, 67Ghz PNA NETWORK ANALYZER,,E605383,1.11.2017,1.11.2018,10.12.215.134,"210,000",2017,1,bench 17,Sent to Keusight for repair 23/6/20 ISM:1304575471,,,
356,ANALYZER,OTHER,N7015A,US57220107,Type C High Speed Fixture ,,,,,,,,0,bench 17,"transferred to CCD, ISM:1304247064 Sudman Shay  WWID 11528732",,,
357,ANALYZER,OTHER,N7015A,US57220105,Type C High Speed Fixture ,,,,,,,,0,bench 17,"transferred to CCD, ISM:1304247064 Sudman Shay  WWID 11528732",,,
358,ANALYZER,OTHER,N7015A,US55440217,Type C High Speed Fixture ,,,,,,,,0,bench 17,"transferred to CCD, ISM:1304247064 Sudman Shay  WWID 11528732",,,
359,ANALYZER,OTHER,MP1900A,6261788375,Bert system,,E605388,,,,"535,000",2018,1,bench 17,in use PO:3001266602,,,
360,ANALYZER,OTHER,PSPL5320B,B010177,Diff Balun tester,,E605400,,,,3000,2017,1,bench 17,in use,,,
361,ANALYZER,OTHER,N4694D,MY57450047,"ECal Module, 10 MHz to 67 GHz, 1.85 mm, 2-por",,E605384,,,,"15,000",2017,1,bench 17,in use MY52230555,,,
362,ANALYZER,OTHER,85058E,MY53400140,"Economy Mechanical Calibration Kit, DC to 67 GHz, 1.85 mm",,E605385,,,,"10,000",2017,1,bench 17,in use,,,
363,ANALYZER,OTHER,J9027,AE194,Noisecome J9027 Noise Generator,,,,,,"45,000",2015,1,bench 17,in use,,,
364,ANALYZER,OTHER,UFX7115A,AE207,Noisecome UFX7115A Prog. Noise generator,,,,,,"25,000",2015,1,bench 17,in use,,,
365,ANALYZER,OTHER,33600A,MY53801328,Keysight 33600A Wave form generator ,,,,,,,,0,bench 17,Moved to PG12 ISM #1304622014,,,
366,ANALYZER,OTHER,16901A,MY50010182,Keysight Logic analyzer 16901A,16902 MY50010329,E588838,,,,"25,000",2015,1,bench 17,in use,,,
367,ANALYZER,OTHER,DCA-X 86100D,MY57270144,Sampling scope,86108B,E588839,,,,,,0,bench 17,Waterfalled to BA ISM:1304279477 Asset:200001534383 ,,,
368,ANALYZER,OTHER,M8020A,MY54300685,JBERT,M8062A M8041A,E559837,,,,,,0,bench 17,Moved to MIG PG2 for K.H ISM:1304589594,,,
369,ANALYZER,OTHER,E3631A,MY50290059,6A 25V POWER SUPPLY - DUAL,,E552994,,,,700,2015,1,bench 17,in use,,,
370,ANALYZER,OTHER,E3631A,MY52460031,6A 25V POWER SUPPLY - DUAL,,E535200,,,,700,2015,1,bench 17,in use,,,
371,ANALYZER,OTHER,E3644,MY55406239,8A 20V POWER SUPPLY,,,,,,"1,000",2015,1,bench 17,in use,,,
372,ANALYZER,OTHER,E3644,MY55396362,8A 20V POWER SUPPLY,,,,,,"1,000",2015,1,bench 17,in use,,,
373,ANALYZER,OTHER,E3644,MY55406238,8A 20V POWER SUPPLY,,,,,,"1,000",2015,1,bench 17,in use,,,
374,ANALYZER,OTHER,N5171B,MY56200369,EXG ANALOG SIGNAL GENERATOR,,E594352,,,,"7,000",2016,1,bench 17,in use,,,
375,ANALYZER,OTHER,E8527D,MY48050167, 20GHz PSG Analog Signal Generator,,E482613,,,,"20,000",<2015,1,bench 17,in use -  Sent to Haifa foe FIB (Ynon/Gil) - ISM #1304180892,,,
376,ANALYZER,OTHER,E8527D,MY58040183, 31.5GHz PSG Analog Signal Generator,,E605386,,,,"50,000",2016,1,bench 17,in use,,,
377,ANALYZER,OTHER,E8527D,MY58040184, 31.5GHz PSG Analog Signal Generator,,E605387,,,,"50,000",2016,1,bench 17,in use,,,
